,Country,Economy (GDP per Capita),Freedom,Generosity,Happiness Rank,Happiness Score,Health (Life Expectancy),Region,Social support,Trust (Government Corruption),Year
143,Niger,0.0694,0.47692,0.19387,144,3.845,0.29707,Sub-Saharan Africa,0.77265,0.15639,2015
144,Cambodia,0.46038,0.66246,0.40359,145,3.819,0.61114,Southeastern Asia,0.62736,0.07247,2015
145,Tanzania,0.2852,0.32878,0.34377,146,3.781,0.38215,Sub-Saharan Africa,1.00268,0.05747,2015
146,Madagascar,0.20824,0.19184,0.21333,147,3.681,0.46721,Sub-Saharan Africa,0.66801,0.08124,2015
147,Central African Republic,0.0785,0.48879,0.23835,148,3.678,0.06699,Sub-Saharan Africa,0.0,0.08289,2015
148,Chad,0.34193,0.23501,0.18386,149,3.667,0.1501,Sub-Saharan Africa,0.76062,0.05269,2015
149,Guinea,0.17417,0.37725,0.28657,150,3.656,0.24009,Sub-Saharan Africa,0.46475,0.12139,2015
150,Ivory Coast,0.46534,0.46866,0.20165,151,3.655,0.15185,Sub-Saharan Africa,0.77115,0.17922,2015
151,Burkina Faso,0.25812,0.39493,0.21747,152,3.587,0.27125,Sub-Saharan Africa,0.85188,0.12832,2015
152,Afghanistan,0.31982,0.23414,0.3651,153,3.575,0.30335,Southern Asia,0.30285,0.09719,2015
153,Rwanda,0.22208,0.59201,0.22628,154,3.465,0.42864,Sub-Saharan Africa,0.7737,0.55191,2015
154,Benin,0.28665,0.4845,0.1826,155,3.34,0.3191,Sub-Saharan Africa,0.35386,0.0801,2015
155,Syria,0.6632,0.15684,0.47179,156,3.006,0.72193,Middle East and Northern Africa,0.47489,0.18906,2015
156,Burundi,0.0153,0.1185,0.19727,157,2.905,0.22396,Sub-Saharan Africa,0.41587,0.10062,2015
157,Togo,0.20868,0.36453,0.16681,158,2.839,0.28443,Sub-Saharan Africa,0.13995,0.10731,2015
158,Denmark,1.44178,0.57941,0.36171,1,7.526,0.79504,Western Europe,1.16374,0.44453,2016
159,Switzerland,1.52733,0.58557,0.28083,2,7.509,0.86303,Western Europe,1.14524,0.41203,2016
160,Iceland,1.42666,0.56624,0.47678,3,7.501,0.86733,Western Europe,1.18326,0.14975,2016
161,Norway,1.57744,0.59609,0.37895,4,7.498,0.79579,Western Europe,1.1269,0.35776,2016
162,Finland,1.40598,0.57104,0.25492,5,7.413,0.81091,Western Europe,1.13464,0.41004,2016
163,Canada,1.44015,0.5737,0.44834,6,7.404,0.8276,North America,1.0961,0.31329,2016
164,Netherlands,1.46468,0.55211,0.47416,7,7.339,0.81231,Western Europe,1.02912,0.29927,2016
165,New Zealand,1.36066,0.58147,0.49401,8,7.334,0.83096,Australia and New Zealand,1.17278,0.41904,2016
166,Australia,1.44443,0.56837,0.47407,9,7.313,0.8512,Australia and New Zealand,1.10476,0.32331,2016
167,Sweden,1.45181,0.58218,0.38254,10,7.291,0.83121,Western Europe,1.08764,0.40867,2016
168,Israel,1.33766,0.36432,0.32288,11,7.267,0.84917,Middle East and Northern Africa,0.99537,0.08728,2016
169,Austria,1.45038,0.54355,0.32865,12,7.119,0.80565,Western Europe,1.08383,0.21348,2016
170,United States,1.50796,0.48163,0.41077,13,7.104,0.779,North America,1.04782,0.14868,2016
171,Costa Rica,1.06879,0.55225,0.22553,14,7.087,0.76146,Latin America and Caribbean,1.02152,0.10547,2016
172,Germany,1.44787,0.53466,0.30452,16,6.994,0.81487,Western Europe,1.09774,0.28551,2016
173,Brazil,1.08754,0.40425,0.15776,17,6.952,0.61415,Latin America and Caribbean,1.03938,0.14166,2016
174,Belgium,1.42539,0.51354,0.2424,18,6.929,0.81959,Western Europe,1.05249,0.26248,2016
175,Ireland,1.48341,0.54008,0.44963,19,6.907,0.81455,Western Europe,1.16157,0.29754,2016
176,Luxembourg,1.69752,0.5487,0.27571,20,6.871,0.84542,Western Europe,1.03999,0.35329,2016
177,Mexico,1.11508,0.37709,0.11735,21,6.778,0.71143,Latin America and Caribbean,0.7146,0.18355,2016
178,Singapore,1.64555,0.4877,0.32706,22,6.739,0.94719,Southeastern Asia,0.86758,0.46987,2016
179,United Kingdom,1.40283,0.50036,0.50156,23,6.725,0.80991,Western Europe,1.08672,0.27399,2016
180,Chile,1.2167,0.37789,0.31595,24,6.705,0.81883,Latin America and Caribbean,0.90587,0.11451,2016
181,Panama,1.18306,0.48927,0.2418,25,6.701,0.70835,Latin America and Caribbean,0.98912,0.08423,2016
182,Argentina,1.15137,0.42284,0.10989,26,6.65,0.69711,Latin America and Caribbean,1.06612,0.07296,2016
183,Czech Republic,1.30915,0.41418,0.09929,27,6.596,0.76376,Central and Eastern Europe,1.00793,0.03986,2016
184,United Arab Emirates,1.57352,0.56215,0.26591,28,6.573,0.72993,Middle East and Northern Africa,0.87114,0.35561,2016
185,Uruguay,1.18157,0.54388,0.18056,29,6.545,0.72183,Latin America and Caribbean,1.03143,0.21394,2016
186,Malta,1.30782,0.54994,0.56237,30,6.488,0.80315,Western Europe,1.09879,0.17554,2016
187,Colombia,1.03032,0.44735,0.15626,31,6.481,0.59659,Latin America and Caribbean,1.02169,0.05399,2016
188,France,1.39488,0.46562,0.1216,32,6.478,0.83795,Western Europe,1.00508,0.17808,2016
189,Thailand,1.0893,0.49553,0.58696,33,6.474,0.64915,Southeastern Asia,1.04477,0.02833,2016
190,Saudi Arabia,1.48953,0.37904,0.15457,34,6.379,0.59267,Middle East and Northern Africa,0.84829,0.30008,2016
191,Taiwan,1.39729,0.32377,0.25495,34,6.379,0.79565,Eastern Asia,0.92624,0.0663,2016
192,Qatar,1.82427,0.56679,0.32388,36,6.375,0.71723,Middle East and Northern Africa,0.87964,0.48049,2016
193,Spain,1.34253,0.37545,0.17665,37,6.361,0.87896,Western Europe,1.12945,0.06137,2016
194,Algeria,1.05266,0.21006,0.07044,38,6.355,0.61804,Middle East and Northern Africa,0.83309,0.16157,2016
195,Guatemala,0.83454,0.50379,0.28808,39,6.324,0.54039,Latin America and Caribbean,0.87119,0.08701,2016
196,Suriname,1.09686,0.52234,0.16665,40,6.269,0.50933,Latin America and Caribbean,0.77866,0.12692,2016
197,Kuwait,1.61714,0.43166,0.15965,41,6.239,0.63569,Middle East and Northern Africa,0.87758,0.23669,2016
198,Bahrain,1.44024,0.47375,0.17147,42,6.218,0.65696,Middle East and Northern Africa,0.94397,0.25772,2016
199,Trinidad and Tobago,1.32572,0.48453,0.31935,43,6.168,0.52608,Latin America and Caribbean,0.98569,0.01241,2016
200,Venezuela,1.13367,0.19847,0.0425,44,6.084,0.61904,Latin America and Caribbean,1.03302,0.08304,2016
201,Slovakia,1.27973,0.23391,0.13837,45,6.078,0.70367,Central and Eastern Europe,1.08268,0.02947,2016
202,El Salvador,0.8737,0.37269,0.08877,46,6.068,0.596,Latin America and Caribbean,0.80975,0.10613,2016
203,Malaysia,1.25142,0.39031,0.41474,47,6.005,0.62366,Southeastern Asia,0.88025,0.09081,2016
204,Nicaragua,0.69384,0.46582,0.29773,48,5.992,0.65213,Latin America and Caribbean,0.89521,0.16292,2016
205,Uzbekistan,0.73591,0.60848,0.34326,49,5.987,0.50163,Central and Eastern Europe,1.1681,0.28333,2016
206,Italy,1.35495,0.18827,0.16684,50,5.977,0.85102,Western Europe,1.04167,0.02556,2016
207,Ecuador,0.97306,0.4027,0.10074,51,5.976,0.68613,Latin America and Caribbean,0.85974,0.18037,2016
208,Japan,1.38007,0.46761,0.10224,53,5.921,0.91491,Eastern Asia,1.06054,0.18985,2016
209,Kazakhstan,1.22943,0.4052,0.15011,54,5.919,0.57386,Central and Eastern Europe,0.95544,0.11132,2016
210,Moldova,0.69177,0.25202,0.19997,55,5.897,0.52309,Central and Eastern Europe,0.83132,0.01903,2016
211,Russia,1.23228,0.32682,0.02736,56,5.856,0.58991,Central and Eastern Europe,1.05261,0.03586,2016
212,Poland,1.24585,0.4519,0.14443,57,5.835,0.69058,Central and Eastern Europe,1.04685,0.055,2016
213,South Korea,1.35948,0.25168,0.18824,57,5.835,0.88645,Eastern Asia,0.72194,0.07716,2016
214,Bolivia,0.79422,0.50961,0.21698,59,5.822,0.4697,Latin America and Caribbean,0.83779,0.07746,2016
215,Lithuania,1.2692,0.18929,0.02025,60,5.813,0.64674,Central and Eastern Europe,1.06411,0.0182,2016
216,Belarus,1.13062,0.29091,0.13942,61,5.802,0.63104,Central and Eastern Europe,1.04993,0.17457,2016
217,North Cyprus,1.31141,0.43596,0.26322,62,5.771,0.84142,Western Europe,0.81826,0.16578,2016
218,Slovenia,1.29947,0.53164,0.25738,63,5.768,0.79151,Central and Eastern Europe,1.05613,0.03635,2016
219,Peru,0.99602,0.37502,0.14527,64,5.743,0.62994,Latin America and Caribbean,0.81255,0.05292,2016
220,Turkmenistan,1.08017,0.37408,0.22567,65,5.658,0.44006,Central and Eastern Europe,1.03817,0.28467,2016
221,Mauritius,1.14372,0.46145,0.36951,66,5.648,0.66189,Sub-Saharan Africa,0.75695,0.05203,2016
222,Libya,1.06688,0.40672,0.17087,67,5.615,0.52304,Middle East and Northern Africa,0.95076,0.10339,2016
223,Latvia,1.21788,0.27996,0.17445,68,5.56,0.63952,Central and Eastern Europe,0.95025,0.0889,2016
224,Cyprus,1.31857,0.29507,0.27906,69,5.546,0.8488,Western Europe,0.70697,0.05228,2016
225,Paraguay,0.89373,0.46235,0.25296,70,5.538,0.58295,Latin America and Caribbean,1.11111,0.07396,2016
226,Romania,1.1697,0.36712,0.12889,71,5.528,0.67602,Central and Eastern Europe,0.72803,0.00679,2016
227,Estonia,1.27964,0.41511,0.08423,72,5.517,0.68098,Central and Eastern Europe,1.05163,0.18519,2016
228,Jamaica,0.89333,0.43597,0.22245,73,5.51,0.59469,Latin America and Caribbean,0.96372,0.04294,2016
229,Croatia,1.18649,0.23907,0.18434,74,5.488,0.70524,Central and Eastern Europe,0.60809,0.04002,2016
230,Hong Kong,1.5107,0.48079,0.40097,75,5.458,0.95277,Eastern Asia,0.87021,0.31647,2016
231,Kosovo,0.90145,0.14396,0.27992,77,5.401,0.54,Central and Eastern Europe,0.66062,0.06547,2016
232,Turkey,1.16492,0.23889,0.04707,78,5.389,0.64718,Middle East and Northern Africa,0.87717,0.12348,2016
233,Indonesia,0.95104,0.39237,0.56521,79,5.314,0.49374,Southeastern Asia,0.87625,0.00322,2016
234,Jordan,0.99673,0.36023,0.14262,80,5.303,0.60712,Middle East and Northern Africa,0.86216,0.13297,2016
